,Currency,Date,Open,High,Low,Close,Volume,Market.Cap,date
320,vertcoin,11-Feb-14,3.66,3.86,3.27,3.47,"264,439","6,054,540",11-Feb
321,viacoin,11-Feb-18,2.89,2.91,2.61,2.73,"468,127","66,361,000",11-Feb
322,viacoin,11-Feb-17,0.043618,0.046598,0.043441,0.043618,"2,209","976,872",11-Feb
323,viacoin,11-Feb-16,0.003725,0.004165,0.003705,0.003795,233,"74,692",11-Feb
324,viacoin,11-Feb-15,0.021777,0.022883,0.020863,0.020966,828,"286,773",11-Feb
325,vibe,11-Feb-18,0.456445,0.456445,0.398917,0.421014,"2,612,440","91,244,400",11-Feb
326,wabi,11-Feb-18,1.56,1.56,1.35,1.45,"1,353,760","70,428,400",11-Feb
327,wagerr,11-Feb-18,0.315426,0.341809,0.297593,0.322396,"108,038","57,722,900",11-Feb
328,walton,11-Feb-18,22.26,22.26,19.17,20.33,"6,364,060","554,222,000",11-Feb
329,waves,11-Feb-18,5.72,5.72,5.01,5.45,"21,599,600","571,865,000",11-Feb
330,waves,11-Feb-17,0.236772,0.255465,0.235074,0.242829,"48,287","23,677,200",11-Feb
331,wax,11-Feb-18,0.365626,0.365626,0.308005,0.313827,"3,787,850","180,237,000",11-Feb
332,wings,11-Feb-18,0.625093,0.645266,0.571844,0.602649,"1,564,530","56,076,000",11-Feb
334,xplay,11-Feb-18,0.165396,0.165396,0.148727,0.153048,"2,760,080","165,396,000",11-Feb
335,xtrabytes,11-Feb-18,0.187758,0.200624,0.165106,0.184406,"193,508","80,736,100",11-Feb
336,zcash,11-Feb-18,482.73,482.73,412.92,434.16,"87,156,000","1,569,620,000",11-Feb
337,zcash,11-Feb-17,32.71,33.67,32.15,32.76,"521,365","20,803,800",11-Feb
338,zclassic,11-Feb-18,100.12,100.64,87.34,93.67,"2,867,010","329,018,000",11-Feb
339,zclassic,11-Feb-17,0.721227,0.795377,0.717291,0.777682,"7,903","499,513",11-Feb
340,zcoin,11-Feb-18,52.68,54.9,46.98,48.67,"6,029,960","214,786,000",11-Feb
341,zcoin,11-Feb-17,1.99,2.12,1.91,2.03,"108,019","2,031,350",11-Feb
342,zencash,11-Feb-18,37.08,38.74,32.61,34.14,"551,752","118,305,000",11-Feb
343,zilliqa,11-Feb-18,0.050553,0.053412,0.047287,0.050514,"11,548,100","329,050,000",11-Feb
